Customer_ID,Age,Gender,Marital_Status,Occupation,Region,Account_Type,Annual_Income,Account_Tenure,Engagement_Score,Credit_Limit,Products_Held,Total_Investment_Value,Avg_Monthly_Balance,Online_Banking_Score,Complaints_Filed,Overdue_Count,Feedback_Score,Dormancy_Period,Churn
28,40,Female,Married,Student,South,Premium,75013,27,59.95,17886,6,296519,70031,57.0,2,2,7.29,3,No
29,37,Female,Single,Self-Employed,Central,Current,41756,27,4.06,51658,8,299578,61573,0.0,4,3,7.96,16,Yes
30,26,Male,Married,Student,North,Current,50260,15,61.99,60894,1,150993,41640,74.06,2,2,5.71,4,No
31,29,Male,Married,Salaried,North,Savings,41730,2,67.73,34534,1,64326,18351,66.48,1,2,10.0,4,No
32,18,Male,Single,Student,South,Savings,181928,6,86.5,118338,3,81617,37768,90.27,0,2,10.0,3,No
33,18,Female,Married,Student,East,Savings,59391,5,64.48,61973,1,63702,23168,62.81,1,3,8.92,5,No
34,25,Male,Single,Self-Employed,North,Savings,31741,28,78.9,71397,5,307043,67452,66.18,2,2,9.42,2,No
35,18,Female,Other,Salaried,Central,Current,98078,12,59.98,69201,2,122833,38911,50.37,2,2,10.0,5,No
36,36,Female,Single,Self-Employed,West,Savings,28781,13,100.0,55920,4,140007,40816,95.54,2,3,8.89,5,No
37,18,Female,Single,Unemployed,Central,Current,67867,12,66.74,83419,3,145577,37983,70.64,1,3,9.03,4,No
38,45,Male,Other,Self-Employed,East,Current,18475,26,66.26,42931,5,292121,61950,70.72,1,2,7.87,2,No
39,18,Male,Married,Self-Employed,Central,Savings,26986,7,46.75,56581,1,89231,24066,41.84,3,2,10.0,4,Yes
40,41,Female,Married,Salaried,North,Savings,67380,18,83.72,34358,5,230244,53712,83.99,1,3,10.0,1,No
41,54,Female,Other,Business,East,Current,93253,13,73.45,87783,6,155417,41533,88.33,1,2,8.43,5,Yes
42,41,Female,Single,Salaried,North,Savings,66358,26,88.72,65881,4,295964,67686,87.03,2,2,10.0,3,No
43,33,Female,Single,Salaried,North,Current,55860,24,55.95,82922,5,243621,61812,59.46,2,2,7.66,5,No
44,42,Female,Married,Salaried,South,Current,49977,4,68.82,71758,1,53634,22914,64.32,3,2,7.61,3,Yes
45,27,Male,Married,Student,West,Savings,24658,17,95.17,47703,3,209803,50438,84.22,0,2,10.0,0,Yes
46,38,Female,Single,Student,North,Savings,38874,3,100.0,65695,2,39349,22708,83.79,0,4,10.0,4,No
47,39,Male,Other,Retired,South,Savings,45415,22,88.28,48110,6,266005,59250,95.34,0,2,10.0,3,No
48,55,Male,Married,Salaried,West,Premium,112901,0,78.85,91406,2,34136,21070,99.3,1,2,8.38,2,No
49,18,Male,Single,Self-Employed,South,Savings,73583,0,42.71,62534,1,55106,14831,42.84,2,2,6.79,0,No
50,33,Female,Single,Self-Employed,West,Savings,20788,27,58.84,73297,6,296688,66934,56.82,2,3,6.99,0,No
51,38,Male,Married,Self-Employed,East,Savings,72725,8,22.82,85370,5,111409,25455,39.6,3,3,5.77,8,Yes
52,38,Female,Married,Salaried,South,Savings,47522,18,76.7,67681,3,216604,50967,64.73,1,2,7.73,5,No
53,30,Male,Single,Salaried,North,Savings,39888,0,62.06,88328,1,24760,10431,53.88,1,2,10.0,5,Yes
54,48,Female,Single,Retired,East,Current,86422,14,78.33,59308,4,166864,44985,82.11,3,3,9.44,0,No
55,46,Female,Married,Unemployed,West,Savings,111145,12,60.23,82026,4,118646,42710,43.87,1,2,9.8,5,No
56,36,Female,Married,Retired,Central,Savings,104690,22,49.1,96507,6,266177,62188,51.53,2,4,7.76,5,Yes
57,40,Female,Married,Retired,West,Savings,36187,28,55.69,65231,5,311223,67711,50.86,3,2,10.0,5,No
58,18,Female,Single,Retired,Central,Current,49735,6,95.9,54821,2,77824,27001,98.73,0,2,8.65,4,No
59,42,Female,Single,Unemployed,East,Savings,73039,13,91.38,71092,4,142275,45208,95.6,0,3,6.22,1,No
60,44,Male,Married,Salaried,East,Premium,107508,29,64.43,101875,8,328393,74615,63.1,1,2,7.91,3,No
61,54,Female,Single,Retired,Central,Savings,44913,1,96.22,74849,3,30984,20899,100.0,0,3,10.0,4,No
62,42,Female,Married,Self-Employed,West,Savings,53562,12,86.45,82311,3,133935,43218,96.33,1,2,10.0,2,No
63,29,Male,Single,Business,West,Current,30828,7,55.65,73972,3,73958,24158,44.09,2,2,8.75,5,No
64,23,Male,Other,Unemployed,Central,Savings,29210,27,51.93,55169,6,305002,64726,59.18,3,2,8.07,5,No
65,35,Female,Single,Salaried,West,Savings,97491,11,46.59,62975,4,130663,34853,53.36,2,4,7.14,5,Yes
66,30,Female,Married,Business,East,Current,135096,12,60.81,131749,4,108364,43086,45.74,2,3,7.04,2,No
67,46,Female,Single,Salaried,South,Current,57342,2,80.75,80930,1,61004,22170,74.79,0,2,10.0,1,No
68,32,Male,Married,Retired,Central,Current,109329,28,54.57,82955,8,293737,71553,45.54,2,4,10.0,0,No
69,24,Male,Married,Self-Employed,East,Current,74382,18,46.1,80534,4,192074,49666,31.51,3,3,6.66,2,Yes
70,42,Male,Single,Retired,North,Savings,40657,29,96.05,84085,7,307320,74844,100.0,0,3,10.0,3,No
71,33,Male,Married,Student,South,Premium,74372,11,75.52,74629,2,136466,42578,77.58,1,3,10.0,5,No
72,25,Male,Single,Student,South,Savings,150666,20,64.0,135517,5,228431,57518,82.32,1,2,6.06,2,No
73,35,Male,Single,Retired,North,Savings,58600,29,21.56,49510,7,291532,67650,19.43,4,3,5.76,6,Yes
74,29,Female,Single,Unemployed,Central,Current,153090,1,81.1,90835,2,42060,22600,81.96,0,4,10.0,3,No
75,31,Female,Single,Student,Central,Current,12433,19,40.33,31743,4,205180,46568,42.02,2,2,4.79,4,Yes
76,31,Female,Single,Student,West,Savings,98041,17,68.83,90536,3,200610,52917,61.17,1,2,9.97,1,No
77,51,Male,Other,Self-Employed,East,Savings,63084,15,81.16,55061,4,185136,45203,71.19,1,2,7.82,4,No
78,39,Female,Single,Unemployed,West,Savings,50040,27,87.51,51275,6,284114,70594,80.1,0,2,8.01,0,No
79,70,Female,Married,Student,Central,Savings,63263,8,46.02,32505,1,98038,28746,52.16,3,2,7.75,0,Yes
80,36,Female,Married,Business,East,Savings,18168,21,86.52,80144,6,255251,56054,99.84,1,2,9.87,0,No
81,33,Male,Married,Business,South,Savings,52480,16,67.57,43659,3,165095,49734,69.16,1,2,9.16,1,No
82,41,Male,Single,Student,West,Current,74181,24,73.46,90124,5,282919,61397,82.78,1,2,7.68,1,No
83,40,Male,Married,Retired,Central,Savings,145326,23,41.51,121338,6,272273,61409,43.37,2,2,7.99,1,No
84,23,Male,Married,Retired,North,Savings,43872,17,33.3,62186,4,183966,45258,21.63,3,2,8.97,18,No
85,31,Female,Single,Retired,East,Current,36860,18,100.0,43213,6,213266,51500,89.86,1,2,9.16,5,No
86,21,Female,Single,Retired,West,Premium,44309,6,98.3,79133,1,125620,28110,100.0,0,3,10.0,3,No
87,37,Male,Other,Unemployed,West,Premium,103698,3,26.49,67877,2,29737,20822,29.0,3,3,4.11,9,No
88,18,Other,Single,Retired,North,Savings,72929,7,81.93,21347,1,77651,29052,83.45,1,2,10.0,1,No
89,39,Female,Other,Student,Central,Premium,43570,0,55.92,42069,1,36564,12113,42.98,4,2,9.21,1,Yes
90,43,Male,Single,Salaried,East,Current,81467,9,85.49,49280,1,97269,31330,94.4,0,2,10.0,3,No
91,37,Female,Single,Self-Employed,Central,Current,63465,3,34.21,95200,2,32389,19746,36.73,3,3,6.71,8,No
92,30,Female,Married,Retired,North,Savings,107064,16,61.36,108309,4,209112,46205,65.44,3,2,8.2,1,No
93,18,Male,Married,Unemployed,North,Savings,39291,6,74.74,62647,2,101571,25393,88.56,1,2,9.96,3,No
94,46,Female,Single,Unemployed,Central,Savings,49187,24,29.22,39019,5,266041,57703,26.14,3,3,8.02,22,No
95,36,Male,Married,Business,East,Savings,47322,0,37.94,34550,1,26777,9769,45.36,6,3,8.8,23,Yes
96,26,Male,Other,Student,North,Savings,24881,15,58.28,92417,3,180308,43123,65.69,2,3,10.0,3,Yes
97,33,Male,Other,Salaried,East,Savings,71515,23,39.83,71360,6,276977,62921,58.5,4,2,5.95,6,No
98,18,Female,Married,Unemployed,North,Premium,70026,9,63.03,89654,3,132116,32100,54.96,1,3,10.0,0,No
99,38,Male,Single,Salaried,Central,Current,60058,10,60.76,86436,2,131025,31612,44.45,1,2,8.6,2,No
100,33,Female,Married,Retired,East,Premium,52012,5,74.63,84928,1,63088,23224,79.83,2,2,3.98,3,No
101,49,Female,Married,Retired,South,Premium,25611,21,76.52,98404,4,200600,56238,80.45,1,2,6.64,1,No
102,44,Female,Single,Student,Central,Savings,46518,23,54.22,76267,3,281772,59588,56.72,3,3,5.92,5,No
103,59,Female,Married,Unemployed,South,Savings,48745,0,82.45,38287,1,21805,14258,76.07,2,3,10.0,2,No
104,48,Other,Married,Student,North,Savings,36998,8,40.88,76876,3,77931,28209,42.63,3,2,9.64,4,No
105,20,Female,Married,Salaried,West,Savings,54351,10,45.77,42441,3,130524,34251,36.27,2,3,8.74,1,No
106,47,Male,Single,Self-Employed,South,Current,76300,5,15.03,86116,2,104151,19171,6.23,4,2,3.02,18,Yes
107,26,Male,Single,Unemployed,North,Savings,185667,18,60.96,106423,5,201296,56353,53.39,1,2,9.97,5,No
108,21,Female,Other,Self-Employed,West,Current,66486,12,92.2,95457,2,129569,40773,90.13,1,2,10.0,2,No
109,18,Female,Married,Unemployed,West,Savings,69879,16,65.21,42198,5,193830,49294,80.15,1,2,8.17,2,No
110,37,Female,Married,Student,North,Premium,57258,13,45.68,90820,5,150928,37149,35.02,4,2,10.0,4,No
111,18,Female,Married,Unemployed,North,Current,18934,19,21.97,44961,5,222522,46165,6.5,3,5,8.0,11,Yes
112,35,Female,Single,Self-Employed,North,Premium,58929,20,27.76,85238,5,250410,52118,21.9,6,2,6.64,15,No
113,21,Female,Single,Self-Employed,North,Premium,62077,3,55.97,91042,2,40295,17547,50.18,2,2,7.64,0,No
114,50,Male,Single,Retired,North,Savings,262483,26,56.74,121604,5,308148,73784,67.7,2,3,9.43,3,No
115,52,Female,Married,Business,North,Current,53347,6,76.18,77081,2,76818,26791,68.04,2,2,10.0,0,No
116,23,Male,Other,Self-Employed,West,Savings,71748,14,91.07,79292,4,184051,43333,86.25,1,3,10.0,5,No
117,20,Male,Single,Business,West,Savings,58640,21,72.12,59522,4,234866,55898,82.87,2,3,10.0,2,No
118,33,Male,Married,Unemployed,East,Premium,29696,28,53.66,63753,6,292947,66005,81.78,2,2,10.0,3,No
119,37,Male,Single,Salaried,North,Current,118859,9,77.27,108258,2,118162,36189,89.68,1,2,10.0,1,No
120,55,Female,Single,Self-Employed,Central,Savings,94010,4,75.67,85422,2,59244,24690,80.39,1,2,10.0,5,No
121,45,Male,Married,Retired,Central,Current,96241,12,86.79,68803,3,145902,39557,82.48,0,3,10.0,5,No
122,47,Other,Married,Unemployed,Central,Current,34695,14,47.11,30539,3,164462,37375,34.31,2,2,8.24,5,No
123,18,Female,Married,Student,South,Savings,138923,2,75.56,112984,1,77720,23040,73.74,1,2,10.0,0,No
124,33,Male,Married,Retired,East,Savings,25819,24,77.05,40612,5,264565,63663,92.94,4,3,10.0,0,No
125,48,Female,Married,Student,East,Premium,85145,18,60.55,67446,5,216081,48900,54.72,1,2,2.39,3,Yes
126,49,Male,Single,Business,West,Savings,222854,2,37.95,116784,1,43353,21849,33.32,3,3,5.36,13,No
127,30,Female,Single,Retired,East,Savings,33046,18,65.89,61237,4,191533,48532,75.44,2,2,10.0,0,No
128,42,Male,Single,Unemployed,North,Savings,42626,11,49.79,76235,4,123893,32307,48.52,3,2,4.41,1,Yes
129,41,Female,Married,Self-Employed,Central,Savings,63563,13,82.99,48971,3,151357,44626,81.14,0,2,10.0,4,No
130,38,Female,Married,Business,East,Current,44263,7,62.42,55263,2,90161,27240,78.28,1,2,10.0,1,No
131,18,Female,Single,Salaried,South,Current,23614,17,65.47,32788,4,177085,44420,49.93,2,2,8.98,1,No
132,53,Female,Married,Salaried,Central,Savings,62388,3,57.54,37867,2,70141,14534,48.85,4,2,8.96,1,Yes
133,24,Male,Single,Self-Employed,North,Current,31653,28,59.67,49055,8,275342,68363,64.79,3,2,10.0,0,No
134,47,Female,Single,Business,South,Premium,79551,23,99.34,60260,5,246149,65968,88.25,0,2,10.0,2,No
135,50,Male,Single,Student,West,Current,34487,10,76.63,68462,2,128470,33780,55.74,2,3,9.82,1,Yes
136,18,Female,Other,Unemployed,West,Savings,151745,29,37.26,104048,7,326348,74182,50.34,4,2,8.14,12,Yes
137,35,Male,Married,Student,North,Current,37423,16,64.13,61961,2,177135,45218,65.42,2,2,10.0,3,No
138,37,Male,Other,Student,South,Current,49353,18,36.81,34048,4,208734,48381,35.55,4,4,3.92,10,Yes
139,33,Male,Other,Salaried,South,Savings,97549,3,98.76,77170,1,67430,25161,100.0,0,2,10.0,4,No
140,21,Male,Single,Business,Central,Savings,28609,5,91.54,56503,2,90186,26454,86.25,1,2,10.0,4,No
141,33,Male,Single,Business,Central,Current,68629,1,98.81,65550,1,21835,18648,90.17,0,3,10.0,2,No
142,18,Female,Single,Business,West,Savings,131174,6,29.6,91671,2,100187,25881,41.11,4,4,10.0,6,Yes
143,18,Male,Single,Retired,South,Savings,22822,27,42.76,57311,7,306740,65289,35.09,2,3,7.58,2,Yes
144,31,Female,Married,Retired,South,Savings,66888,18,48.09,64339,3,194957,48372,62.53,2,2,7.81,0,Yes
145,50,Female,Single,Salaried,West,Current,69977,13,44.57,44991,3,154674,39503,41.98,3,2,9.55,5,Yes
146,18,Female,Other,Self-Employed,West,Savings,95711,15,45.28,29866,5,201747,45494,40.77,3,2,8.87,5,Yes
147,32,Female,Married,Student,East,Current,28504,7,47.22,55252,2,73120,26394,53.86,2,3,9.14,1,Yes
148,26,Female,Married,Salaried,South,Savings,27111,17,59.41,57499,5,200162,43735,52.96,2,2,7.83,3,No
149,56,Male,Single,Unemployed,North,Current,81892,8,73.57,70385,2,118662,33892,73.66,1,4,10.0,5,No
150,37,Female,Married,Unemployed,South,Current,71552,3,76.68,78026,1,39347,21165,63.33,2,2,9.65,5,No
151,44,Female,Married,Student,South,Savings,69584,13,85.86,79362,5,182257,42706,98.66,1,2,9.9,1,No
152,18,Female,Single,Retired,North,Current,73708,23,71.68,95449,6,261377,61613,96.48,1,5,9.56,3,No
153,32,Female,Single,Unemployed,Central,Savings,39814,19,71.7,38949,6,216240,55237,93.58,2,2,10.0,1,No
154,30,Male,Married,Unemployed,West,Current,68827,21,90.73,90320,5,246632,61069,100.0,1,3,9.62,5,No
155,26,Male,Single,Student,North,Current,71385,23,81.25,73933,5,273831,61165,80.48,1,2,10.0,5,No
156,32,Male,Single,Salaried,South,Current,39002,20,71.36,68414,5,225527,54024,73.87,2,2,10.0,1,No
157,30,Male,Single,Self-Employed,Central,Savings,183407,21,27.63,92312,7,255611,57759,23.69,3,3,7.57,13,Yes
158,57,Other,Single,Salaried,North,Current,79562,17,95.52,113777,4,203816,54754,100.0,0,2,9.54,5,No
159,22,Other,Married,Salaried,East,Savings,29296,19,30.37,88257,5,186822,49642,32.47,3,2,9.23,22,No
160,41,Male,Single,Self-Employed,North,Savings,88781,4,49.89,70709,1,82884,24355,48.65,3,4,8.72,3,Yes
161,49,Female,Other,Retired,East,Current,33362,0,18.0,83266,1,30525,9224,20.97,5,4,8.54,11,Yes
162,43,Male,Single,Salaried,South,Premium,96014,22,100.0,71551,6,243918,63045,100.0,1,3,10.0,4,No
163,59,Male,Single,Self-Employed,North,Savings,119989,5,52.42,87174,3,85538,23198,72.59,2,6,7.61,2,No
164,35,Male,Single,Self-Employed,West,Savings,36592,19,66.44,25050,5,193118,50494,74.79,2,2,7.99,5,No
165,45,Female,Single,Salaried,North,Current,106726,3,30.6,85489,2,91706,19252,46.39,3,2,5.95,9,Yes
166,36,Female,Married,Business,North,Savings,76700,18,69.08,79988,5,200575,51900,71.85,1,3,8.46,4,No
167,50,Male,Single,Unemployed,Central,Current,98050,27,87.28,82454,7,280624,68850,78.0,1,3,10.0,4,No
168,18,Male,Single,Business,West,Savings,186852,16,47.53,105106,2,199389,52078,54.09,2,2,6.64,3,Yes
169,29,Male,Married,Student,East,Savings,51676,5,64.66,69754,1,51809,21822,64.32,1,3,9.59,4,No
170,43,Male,Single,Student,North,Current,38091,4,71.61,88635,1,63276,17891,70.06,1,3,10.0,5,Yes
171,39,Female,Married,Business,West,Current,35111,5,41.55,66130,4,39374,20778,37.62,2,2,10.0,0,No
172,26,Male,Single,Student,North,Current,36699,25,80.8,68238,6,269066,64470,97.5,1,3,10.0,0,No
173,18,Female,Single,Unemployed,East,Current,57167,0,46.66,97165,2,-50,13614,57.17,2,4,5.99,5,Yes
174,41,Female,Married,Self-Employed,West,Savings,73474,17,67.48,68282,3,182691,52611,72.8,2,2,8.51,5,Yes
175,18,Male,Single,Self-Employed,West,Current,70686,14,62.04,126262,5,182295,42827,65.47,1,2,10.0,4,No
176,19,Male,Single,Business,Central,Savings,98352,15,88.41,111635,5,200182,51067,88.65,0,2,8.38,3,No
177,49,Male,Married,Business,North,Savings,60343,22,69.35,88287,4,258175,59303,64.15,3,2,10.0,3,No
178,33,Other,Single,Business,North,Savings,143217,8,19.98,44107,1,114300,30109,23.17,5,3,5.53,13,Yes
179,23,Female,Married,Retired,West,Current,51082,21,66.74,60909,5,248651,54544,57.45,2,2,10.0,4,No
180,26,Male,Single,Retired,West,Savings,306232,21,67.6,161860,6,266344,70078,64.91,1,2,9.54,4,No
181,34,Female,Single,Business,North,Current,87151,4,73.84,34377,1,62900,25763,77.12,2,4,10.0,5,No
182,44,Female,Married,Retired,South,Savings,35800,10,53.54,77422,3,118975,32488,43.18,4,2,7.39,0,No
183,25,Female,Single,Unemployed,Central,Savings,31491,4,34.28,32148,1,69966,17235,52.14,4,2,8.13,7,No
184,43,Female,Single,Business,South,Savings,79976,5,33.65,91043,2,64882,23107,38.15,3,2,8.16,22,Yes
185,34,Female,Single,Retired,South,Current,52361,1,60.02,59955,1,30264,15974,59.42,1,2,10.0,1,Yes
186,46,Female,Single,Salaried,East,Savings,91894,9,96.87,76568,2,97955,38305,96.32,0,3,10.0,2,No
187,24,Male,Single,Self-Employed,West,Savings,79534,21,63.39,49487,7,239865,57580,67.03,1,4,10.0,2,No
188,18,Female,Married,Self-Employed,East,Current,57314,3,62.28,55321,1,47077,22382,85.2,1,3,8.12,5,No
189,39,Male,Single,Salaried,Central,Current,36023,13,69.16,13026,2,114678,39020,61.49,1,2,6.08,0,No
190,35,Male,Married,Unemployed,North,Savings,24127,2,82.86,69346,1,65658,18929,68.89,1,2,8.11,2,No
191,50,Male,Married,Student,Central,Savings,45802,12,56.63,85478,5,137190,35361,59.75,2,2,7.62,5,No
192,52,Male,Single,Unemployed,West,Savings,100091,22,80.57,79915,6,269472,59749,86.39,0,3,10.0,5,No
193,47,Female,Single,Self-Employed,North,Current,68081,29,85.54,55296,8,315827,74484,100.0,1,2,7.22,2,No
194,36,Male,Single,Salaried,West,Premium,28354,14,78.6,52798,4,151982,43146,73.48,2,2,6.71,2,No
195,50,Male,Single,Unemployed,North,Savings,66430,15,86.5,93272,3,164215,44870,91.36,0,2,10.0,3,No
196,21,Female,Single,Student,East,Premium,75447,4,100.0,111374,3,81501,27800,70.22,1,3,10.0,0,No
197,18,Female,Married,Student,West,Current,35231,9,63.07,99232,3,102259,32086,59.37,2,4,7.51,4,Yes
198,28,Male,Married,Retired,North,Current,65659,2,55.02,57642,1,24022,19950,36.23,2,2,5.07,1,No
199,44,Male,Single,Business,Central,Savings,62002,15,36.61,58708,4,154071,43197,20.73,3,3,7.43,20,No
200,46,Female,Other,Unemployed,West,Savings,30158,7,71.25,88030,2,83781,28180,81.78,3,3,10.0,2,Yes
201,32,Female,Single,Retired,East,Current,74211,15,63.07,97049,2,200510,44919,58.63,2,3,9.18,1,No
202,31,Male,Married,Self-Employed,Central,Current,83823,4,80.62,76892,1,26887,26472,70.69,0,2,7.48,4,No
203,31,Female,Single,Unemployed,South,Savings,114671,10,60.48,107018,4,128695,35653,67.03,1,2,10.0,1,No
204,18,Female,Single,Unemployed,West,Current,112677,18,43.97,85250,5,201522,52280,22.98,3,2,5.03,0,No
205,24,Female,Other,Salaried,North,Savings,26196,28,63.45,75227,6,314317,65737,60.85,1,3,6.96,5,No
206,67,Male,Single,Student,North,Current,34108,15,28.9,63453,4,180914,37379,31.93,4,3,9.66,9,No
207,41,Male,Married,Student,West,Savings,81554,13,62.91,65913,5,166832,41770,57.51,1,2,7.91,0,No
208,41,Male,Married,Student,North,Savings,81492,10,51.83,83750,4,135386,28415,66.87,2,2,10.0,3,No
209,52,Male,Married,Salaried,North,Current,81554,13,89.73,75410,3,163294,42244,91.19,0,3,9.72,4,No
210,48,Male,Married,Student,West,Current,604186,15,91.37,252893,5,222188,73473,98.42,1,1,10.0,2,No
211,38,Female,Single,Unemployed,West,Premium,84333,24,64.92,59073,6,274100,62244,64.19,2,2,6.95,0,No
212,25,Male,Other,Unemployed,South,Savings,118342,17,26.9,111276,4,205678,53356,29.5,4,2,7.02,17,No
213,22,Female,Other,Self-Employed,North,Premium,106127,2,42.93,85623,2,45070,18843,37.24,2,3,10.0,1,No
214,30,Female,Married,Retired,Central,Premium,88506,2,64.81,81572,1,61606,22026,66.6,1,3,10.0,5,No
215,37,Male,Single,Self-Employed,East,Savings,49555,0,47.24,69165,1,13546,10761,40.17,2,4,6.92,0,Yes
216,21,Other,Single,Student,West,Current,94408,11,59.05,53706,1,162341,39876,74.97,3,2,10.0,5,No
217,18,Male,Single,Salaried,East,Current,37658,6,98.1,62333,3,82154,30054,79.76,0,2,10.0,1,No
218,28,Male,Single,Business,South,Savings,51943,10,55.63,87729,3,111832,32751,51.13,3,2,10.0,5,No
219,47,Other,Single,Retired,South,Savings,44747,12,65.84,86667,4,150947,35307,56.72,2,2,10.0,1,No
220,35,Male,Married,Self-Employed,Central,Savings,62888,13,70.69,79553,3,174779,39896,60.71,1,2,9.46,2,No
221,34,Male,Single,Unemployed,North,Current,240096,21,45.69,123721,5,260178,66663,40.88,2,2,7.08,2,No
222,18,Male,Single,Business,North,Savings,19528,11,51.77,18942,2,136344,30900,34.57,3,4,8.74,0,Yes
223,40,Male,Married,Salaried,South,Savings,90377,5,59.46,93827,1,85751,27206,47.37,2,4,10.0,1,No
224,52,Female,Married,Salaried,North,Savings,22751,5,67.41,50663,3,71825,20740,63.78,2,2,7.67,5,No
225,59,Female,Married,Retired,North,Savings,45109,6,82.57,93430,3,84003,28460,72.01,0,2,10.0,1,No
226,44,Male,Married,Student,South,Current,115078,5,42.85,63978,1,85442,25564,45.21,2,3,9.11,5,Yes
227,24,Male,Single,Retired,North,Current,62228,27,65.23,57829,5,290566,71319,55.54,1,2,10.0,3,No
228,18,Male,Other,Unemployed,East,Premium,31362,8,5.57,99784,2,115466,25815,9.5,4,2,9.13,16,Yes
229,44,Female,Other,Business,Central,Premium,38980,20,63.62,74198,4,230151,52155,61.5,2,2,9.77,2,No
230,44,Male,Single,Salaried,East,Savings,90017,29,71.86,90559,6,320194,73867,77.38,3,3,8.9,4,No
231,21,Male,Married,Student,North,Savings,38629,27,68.07,74590,5,312851,69976,60.65,2,2,6.9,1,No
232,26,Male,Single,Salaried,South,Savings,68177,26,100.0,65902,6,297675,70959,100.0,0,2,10.0,2,No
233,34,Female,Married,Unemployed,East,Current,61533,16,51.96,62819,4,180386,46063,60.06,4,3,7.9,5,Yes
234,34,Male,Single,Unemployed,West,Current,40499,16,58.0,53794,3,183255,40682,49.5,2,4,10.0,2,No
235,31,Female,Single,Unemployed,West,Savings,216721,14,60.65,126985,6,171544,51453,58.38,1,3,7.88,0,No
236,37,Male,Single,Retired,West,Savings,87583,0,75.25,100317,2,3714,18106,90.06,1,3,5.45,5,No
237,27,Male,Other,Unemployed,North,Savings,17763,13,100.0,56355,5,162815,38354,97.96,1,4,10.0,4,No
238,29,Female,Married,Student,North,Premium,66961,1,86.57,75903,1,57235,20161,95.93,0,2,10.0,0,No
239,44,Female,Married,Retired,North,Savings,40252,19,54.87,61845,5,238210,47859,68.37,3,2,7.71,1,No
240,36,Female,Married,Student,South,Current,99853,21,33.38,55902,4,267610,53530,44.47,3,3,5.77,18,Yes
